region,population,elderly_population,active_clinics,elderly_share_pct,clinics_per_10k_elderly,priority_score,priority_band,period
연천군,41027,13659,30,33.29,21.96,98.5,HIGH,2025-04
여주시,114289,31155,42,27.26,13.48,94.5,HIGH,2025-04
가평군,62181,20248,47,32.56,23.21,93.67,HIGH,2025-04
포천시,141186,38138,85,27.01,22.29,89.67,HIGH,2025-04
양평군,126704,40212,103,31.74,25.61,88.83,HIGH,2025-04
동두천시,86695,22834,61,26.34,26.71,81.83,HIGH,2025-04
안성시,195289,41798,125,21.4,29.91,78.5,HIGH,2025-04
의왕시,153974,28799,95,18.7,32.99,69.67,WATCH,2025-04
군포시,253823,47648,197,18.77,41.34,64.0,WATCH,2025-04
의정부시,461642,89192,448,19.32,50.23,58.33,WATCH,2025-04
이천시,222671,40261,159,18.08,39.49,56.0,WATCH,2025-04
남양주시,730371,132606,591,18.16,44.57,55.5,WATCH,2025-04
양주시,291318,52110,198,17.89,38.0,53.83,WATCH,2025-04
광주시,396950,71145,282,17.92,39.64,52.67,WATCH,2025-04
파주시,516585,85985,299,16.64,34.77,49.83,WATCH,2025-04
부천시,765352,148212,1040,19.37,70.17,49.67,WATCH,2025-04
수원시,1190998,172850,435,14.51,25.17,46.33,WATCH,2025-04
용인시,1089752,179373,780,16.46,43.48,40.5,WATCH,2025-04
고양시,1065281,188667,1031,17.71,54.65,36.67,BALANCED,2025-04
구리시,186533,33993,282,18.22,82.96,36.33,BALANCED,2025-04
광명시,283399,51352,399,18.12,77.7,35.67,BALANCED,2025-04
김포시,485259,78455,360,16.17,45.89,35.67,BALANCED,2025-04
성남시,910260,164678,1329,18.09,80.7,32.33,BALANCED,2025-04
안양시,562366,100418,707,17.86,70.41,28.0,BALANCED,2025-04
안산시,616800,97166,561,15.75,57.74,26.0,BALANCED,2025-04
하남시,328118,51945,349,15.83,67.19,21.83,BALANCED,2025-04
오산시,245742,30622,149,12.46,48.66,21.33,BALANCED,2025-04
과천시,84314,13037,87,15.46,66.73,19.67,BALANCED,2025-04
평택시,600697,84780,517,14.11,60.98,19.0,BALANCED,2025-04
시흥시,515897,67059,432,13.0,64.42,15.67,BALANCED,2025-04
화성시,977283,108980,920,11.15,84.42,0.0,BALANCED,2025-04
