region,transaction_count,median_trade_price_krw,median_price_per_sqm_krw,median_area_sqm,price_cagr_pct,market_heat_score,market_band,period
서초구,2926,2350000000,26730903,84.93,11.14,93.75,HIGH,2024
강남구,3605,2230000000,27609428,84.7,6.12,87.71,HIGH,2024
송파구,4211,1570000000,19195666,84.8,5.96,81.25,HIGH,2024
용산구,1062,1800000000,21622156,84.93,8.81,76.67,HIGH,2024
강동구,3365,1040000000,14345396,67.17,6.44,74.59,HIGH,2024
마포구,2636,1250000000,16717781,84.39,6.12,71.46,HIGH,2024
성동구,2823,1315000000,17679778,83.64,5.68,70.83,HIGH,2024
양천구,2521,1090000000,13887254,83.72,8.2,65.0,WATCH,2024
동작구,2447,1100000000,14607679,84.67,5.39,60.0,WATCH,2024
영등포구,2910,1044500000,14046783,79.78,5.37,56.67,WATCH,2024
중구,820,1076500000,14162560,73.0,6.29,55.42,WATCH,2024
종로구,442,1050000000,12970731,83.86,9.2,53.75,WATCH,2024
서대문구,2225,890000000,12671187,82.35,6.17,52.5,WATCH,2024
광진구,1358,1190000000,15836004,83.34,4.55,51.66,WATCH,2024
은평구,2055,760000000,10953560,66.7,7.59,49.16,WATCH,2024
강서구,2783,770000000,11414450,64.65,4.84,45.42,WATCH,2024
동대문구,2405,800000000,11206606,66.56,4.48,37.5,BALANCED,2024
성북구,2978,770000000,10387264,68.14,4.12,36.25,BALANCED,2024
구로구,2253,650000000,9307257,64.55,5.7,33.75,BALANCED,2024
노원구,4142,570000000,9511414,59.52,3.96,30.83,BALANCED,2024
관악구,1463,750000000,10118838,74.22,4.18,23.75,BALANCED,2024
중랑구,1555,600000000,8835341,68.12,4.34,19.58,BALANCED,2024
도봉구,1574,524500000,7403699,70.3,4.01,9.17,BALANCED,2024
금천구,744,600000000,8255855,59.97,4.05,6.67,BALANCED,2024
강북구,890,620000000,8598706,74.48,3.69,6.66,BALANCED,2024
