시군명,사업장명,인허가일자,영업상태명,폐업일자,병상수(개),의료기관종별명,의료인수(명),입원실수(개),진료과목내용,연면적(㎡),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
가평군,금빛여성의원,2023-07-12,영업/정상,,26,의원,13,14,"내과, 외과, 산부인과, 소아청소년과",2428.33,"경기도 성남시 수정구 수정로171번길 7-1, 우일프라자 2층일부, 3~6층, 8층, 9층일부 (태평동)",경기도 성남시 수정구 태평동 3406 우일프라자,13292,37.4435950110,127.1384105782
가평군,야탑성모이비인후과의원,2019-02-25,영업/정상,,0,의원,1,0,"내과, 소아청소년과, 이비인후과",112.28,"경기도 성남시 분당구 성남대로925번길 11, 유니마트 213,214일부호 (야탑동)",경기도 성남시 분당구 야탑동 352번지 4호 유니마트,13497,37.4120484252,127.1272733859
가평군,상천신경과의원,2011-10-31,영업/정상,,6,의원,1,3,"내과, 신경과, 정형외과, 마취통증의학과",957.48,경기도 가평군 청평면 경춘로 1401,경기도 가평군 청평면 상천리 295번지,12449,37.7770645770,127.4621518903
가평군,현리중앙의원,1998-12-26,영업/정상,,0,의원,2,0,"내과, 정형외과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 진단검사의학과",135,경기도 가평군 조종면 현창로38번길 3 (현리중앙의원),경기도 가평군 조종면 현리 265번지 12호,12437,37.8185872363,127.3485113822
가평군,홍인의원,1994-02-04,영업/정상,,24,의원,2,7,"내과, 외과, 정형외과, 소아청소년과, 피부과, 비뇨의학과, 재활의학과",997,경기도 가평군 청평면 청평중앙로 37-2,경기도 가평군 청평면 청평리 470번지 31호,12452,37.7375825843,127.4188053951
가평군,가평삼성의원,2003-04-07,영업/정상,,0,의원,2,0,"내과, 외과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 가정의학과",252.4,"경기도 가평군 가평읍 보납로 3, 2층",경기도 가평군 가평읍 읍내리 505-2,12413,37.8314377807,127.5108639260
가평군,성민의원,1992-02-13,영업/정상,,0,의원,1,0,"내과, 신경과, 외과, 정형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 재활의학과",263,"경기도 가평군 청평면 청평중앙로 47, 2,3층",경기도 가평군 청평면 청평리 465번지 5호,12452,37.7380879584,127.4197241623
가평군,우리들의원,2005-06-01,영업/정상,,0,의원,2,0,"내과, 외과, 정형외과, 성형외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과",345,경기도 가평군 설악면 신천중앙로88번길 1,경기도 가평군 설악면 신천리 120번지 1호,12465,37.6769054743,127.4937515283
가평군,천병철내과의원,2012-05-11,영업/정상,,0,의원,1,0,"내과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과",240.97,"경기도 가평군 가평읍 장터3길 10, 가평메디컬센터 5층",경기도 가평군 가평읍 읍내리 407-4 가평메디컬센터,12419,37.8303918387,127.5146933550
가평군,청평연세의원,2004-06-11,영업/정상,,0,의원,1,0,"내과, 정형외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 가정의학과",142.6,경기도 가평군 청평면 청평중앙로 62,경기도 가평군 청평면 청평리 432번지 16호,12452,37.7384944990,127.4211197341
가평군,임내과의원,2002-06-29,영업/정상,,0,의원,1,0,"내과, 소아청소년과, 이비인후과, 피부과",264,"경기도 가평군 가평읍 연인1길 1, 2층",경기도 가평군 가평읍 읍내리 476번지 7호 2층,12418,37.8293554470,127.5136817902
가평군,연세안과의원,2007-08-27,영업/정상,,0,의원,1,0,안과,130.92,"경기도 가평군 청평면 청평중앙로 53-1, 3층",경기도 가평군 청평면 청평리 465-37,12452,37.7383496906,127.4202346143
가평군,현리 김창선의원,1999-01-15,영업/정상,,0,의원,3,0,"내과, 외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 결핵과",170.98,경기도 가평군 조종면 현창로38번길 4-1 (서울프라자약국),경기도 가평군 조종면 현리 265번지 2호 3층,12437,37.8185335078,127.3487841781
가평군,김외과의원,1996-04-23,영업/정상,,0,의원,3,0,"내과, 신경과, 외과, 정형외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과",393,경기도 가평군 조종면 현창로 39 (김의과의원),경기도 가평군 조종면 현리 410번지 15호,12437,37.8183253723,127.3481369752
가평군,강현철의원,2000-03-15,영업/정상,,0,의원,1,0,"내과, 외과, 정형외과, 신경외과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 재활의학과",180.79,경기도 가평군 청평면 청평중앙로 51,경기도 가평군 청평면 청평리 465번지 8호,12452,37.7382233121,127.4199510089
가평군,건유의원,2016-12-12,영업/정상,,4,의원,4,1,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과",1185.76,"경기도 가평군 가평읍 가화로 47, 건유의원",경기도 가평군 가평읍 대곡리 189번지 3호 건유의원,12420,37.8241005460,127.5154988650
가평군,늘푸른의원,2018-02-09,영업/정상,,0,의원,1,0,"내과, 신경과, 외과, 마취통증의학과, 산부인과, 소아청소년과, 이비인후과, 피부과, 가정의학과",246.4,"경기도 가평군 설악면 신천중앙로 118, 2층",경기도 가평군 설악면 신천리 435번지 14호,12465,37.6780590054,127.4909276543
가평군,초이스이비인후과의원,2019-03-05,영업/정상,,0,의원,1,0,이비인후과,126.04,"경기도 성남시 분당구 돌마로 361, 동신코아빌딩 6층 604호 (수내동)",경기도 성남시 분당구 수내동 63번지 2호 동신코아빌딩 604호,13599,37.3706164267,127.1229608786
가평군,밴스의원,2019-04-15,영업/정상,,0,의원,4,0,"성형외과, 피부과",274.28,"경기도 성남시 분당구 분당내곡로 117, 크래프톤타워 3층 305호 (백현동)",경기도 성남시 분당구 백현동 535번지 크래프톤타워,13529,37.3942247359,127.1121778145
가평군,서울정형외과의원,2017-02-27,영업/정상,,0,의원,1,0,정형외과,182,경기도 가평군 가평읍 가화로 118 (하나로약국),경기도 가평군 가평읍 읍내리 473-1번지 하나로약국,12419,37.8302116880,127.5137614944
가평군,가평사랑정형외과의원,2017-09-11,영업/정상,,0,의원,2,0,"외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 가정의학과",347.87,경기도 가평군 가평읍 정간내로 1,경기도 가평군 가평읍 읍내리 445번지,12412,37.8316538775,127.5130231062
가평군,로젠성형외과의원,2023-07-25,영업/정상,,0,의원,1,0,성형외과,178.5,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 2층 208호 (야탑동)",경기도 성남시 분당구 야탑동 358-3 분당아미고타워,13497,37.4105911732,127.1282185032
가평군,위례밝은성모안과의원,2023-08-16,영업/정상,,0,의원,1,0,안과,148.37,"경기도 성남시 수정구 위례광장로 310, 우성트램타워 B동 301호 (창곡동)",경기도 성남시 수정구 창곡동 509-1 우성트램타워,13640,37.4727049587,127.1429411379
