행정기관코드,행정기관,전체,남자,여자,65세이상 전체,65세이상 남자,65세이상 여자
4100000000,경기도  ,"13,702,756","6,884,608","6,818,148","2,327,377","1,054,184","1,273,193"
4111000000,경기도 수원시 ,1190998,"598,607","592,391","172,850","77,188","95,662"
4113000000,경기도 성남시 ,910260,"450,033","460,227","164,678","74,313","90,365"
4115000000,경기도 의정부시 ,461642,"226,659","234,983","89,192","39,143","50,049"
4117000000,경기도 안양시 ,562366,"277,333","285,033","100,418","45,260","55,158"
4119000000,경기도 부천시 ,765352,"377,470","387,882","148,212","67,120","81,092"
4121000000,경기도 광명시 ,283399,"138,680","144,719","51,352","22,480","28,872"
4122000000,경기도 평택시 ,600697,"315,374","285,323","84,780","37,934","46,846"
4125000000,경기도 동두천시 ,86695,"43,208","43,487","22,834","9,879","12,955"
4127000000,경기도 안산시 ,616800,"315,874","300,926","97,166","44,773","52,393"
4128000000,경기도 고양시 ,1065281,"518,778","546,503","188,667","83,690","104,977"
4129000000,경기도 과천시 ,84314,"41,109","43,205","13,037","5,932","7,105"
4131000000,경기도 구리시 ,186533,"92,306","94,227","33,993","15,487","18,506"
4136000000,경기도 남양주시 ,730371,"361,351","369,020","132,606","59,450","73,156"
4137000000,경기도 오산시 ,245742,"128,105","117,637","30,622","13,664","16,958"
4139000000,경기도 시흥시 ,515897,"268,924","246,973","67,059","31,332","35,727"
4141000000,경기도 군포시 ,253823,"125,913","127,910","47,648","21,403","26,245"
4143000000,경기도 의왕시 ,153974,"76,124","77,850","28,799","13,264","15,535"
4145000000,경기도 하남시 ,328118,"163,082","165,036","51,945","24,168","27,777"
4146000000,경기도 용인시 ,1089752,"539,999","549,753","179,373","80,255","99,118"
4148000000,경기도 파주시 ,516585,"260,677","255,908","85,985","38,251","47,734"
4150000000,경기도 이천시 ,222671,"116,244","106,427","40,261","18,750","21,511"
4155000000,경기도 안성시 ,195289,"100,953","94,336","41,798","18,991","22,807"
4157000000,경기도 김포시 ,485259,"242,150","243,109","78,455","35,717","42,738"
4159000000,경기도 화성시 ,977283,"506,965","470,318","108,980","50,726","58,254"
4161000000,경기도 광주시 ,396950,"202,274","194,676","71,145","33,409","37,736"
4163000000,경기도 양주시 ,291318,"146,599","144,719","52,110","23,743","28,367"
4165000000,경기도 포천시 ,141186,"74,644","66,542","38,138","18,256","19,882"
4167000000,경기도 여주시 ,114289,"58,228","56,061","31,155","14,663","16,492"
4180000000,경기도 연천군 ,41027,"21,442","19,585","13,659","6,285","7,374"
4182000000,경기도 가평군 ,62181,"32,033","30,148","20,248","9,627","10,621"
4183000000,경기도 양평군 ,126704,"63,470","63,234","40,212","19,031","21,181"
