거래금액,지역코드,아파트,시도명,시군구,법정동,지번,건축년도,년,월,일,등기일자,매도자,전용면적,층
"219,000",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2024,1,30,2024-04-30,개인,59.8732,17
"175,000",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2024,1,31,2024-03-20,개인,53.46,5
"200,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2024,1,27,2024-02-29,개인,59.967,9
"175,000",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2024,1,31,,개인,53.46,5
"282,000",11680,현대2,서울특별시,강남구,개포동,654,1986,2024,1,19,2024-05-30,개인,131.83,1
"260,000",11680,현대아파트3,서울특별시,강남구,개포동,177,1986,2024,1,20,2024-03-21,개인,131.83,6
"97,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2024,1,30,2024-02-29,개인,33.18,4
"220,000",11680,개포래미안포레스트,서울특별시,강남구,개포동,1282,2020,2024,1,17,2024-02-21,개인,74.66,10
"116,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2024,1,17,2024-04-05,개인,39.53,8
"190,000",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2024,1,24,2024-02-15,개인,53.46,11
"209,500",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2024,1,18,2024-03-15,개인,59.8732,16
"195,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2024,1,28,2024-05-03,개인,59.967,9
"114,500",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2024,1,27,2024-02-27,개인,39.53,12
"340,000",11680,경남2차,서울특별시,강남구,개포동,649,1984,2024,1,25,2024-05-16,개인,182.2,10
"161,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2024,1,15,,법인,49.909,12
"187,000",11680,개포래미안포레스트,서울특별시,강남구,개포동,1282,2020,2024,1,9,2024-03-29,개인,59.96,29
"212,500",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2024,1,10,2024-04-03,개인,59.7479,26
"130,000",11680,삼익대청아파트,서울특별시,강남구,개포동,12,1992,2024,1,11,2024-03-14,개인,51.12,12
"217,000",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2024,1,9,2024-03-29,개인,59.8072,20
"215,000",11680,개포주공5단지,서울특별시,강남구,개포동,187,1983,2024,1,13,2024-03-26,개인,53.98,8
"216,000",11680,개포자이프레지던스,서울특별시,강남구,개포동,189,2023,2024,1,12,2024-03-12,개인,59.98,26
"113,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2024,1,13,2024-04-15,개인,39.53,11
"223,000",11680,개포더샵트리에,서울특별시,강남구,개포동,651-1,2021,2024,1,3,2024-03-29,개인,108.0923,14
"96,500",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2024,2,24,2024-05-16,개인,33.18,4
"131,500",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2024,2,27,2024-04-12,개인,49.86,4
"193,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2024,2,21,,개인,59.897,12
"220,000",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2024,2,24,2024-05-30,개인,59.7479,21
"99,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2024,2,29,2024-03-21,개인,33.18,3
"184,000",11680,개포주공6단지,서울특별시,강남구,개포동,185,1983,2024,2,24,2024-03-22,개인,53.06,9
"213,500",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2024,2,13,2024-04-23,개인,59.8732,17
"194,000",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2024,2,21,2024-03-18,개인,60.76,3
"227,000",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2024,2,22,2024-03-19,개인,73.26,15
"256,500",11680,개포주공6단지,서울특별시,강남구,개포동,185,1983,2024,2,7,2024-03-15,개인,83.21,10
"115,000",11680,삼익대청아파트,서울특별시,강남구,개포동,12,1992,2024,2,19,2024-03-07,개인,39.53,6
"192,000",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2024,2,24,2024-03-28,개인,60.76,11
"257,000",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2024,2,23,2024-03-21,개인,83.7,11
